Windows Process Scan Log
Scan Time: 2026-06-17 11:03:16.585399
======================================================================

PID:4916   | pet.exe                   | running      | 8.32      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:5012   | svchost.exe               | running      | 53.43     MB | N/A
PID:5020   | DAX3API.exe               | running      | 10.17     MB | N/A
PID:5036   | armsvc.exe                | running      | 1.86      MB | N/A
PID:5052   | svchost.exe               | running      | 41.10     MB | N/A
PID:5076   | ElevocControlService.exe  | running      | 8.66      MB | N/A
PID:5088   | svchost.exe               | running      | 7.80      MB | N/A
PID:5108   | LNBITSSvc.exe             | running      | 30.64     MB | N/A
PID:5192   | MpDefenderCoreService.exe | running      | 20.03     MB | N/A
PID:5284   | mtkbtsvc.exe              | running      | 2.32      MB | N/A
PID:5292   | RtkAudUService64.exe      | running      | 9.37      MB | N/A
PID:5300   | svchost.exe               | running      | 2.77      MB | N/A
PID:5312   | UltraViewer_Service.exe   | running      | 6.51      MB | N/A
PID:5384   | svchost.exe               | running      | 5.46      MB | N/A
PID:5412   | svchost.exe               | running      | 49.30     MB | N/A
PID:5476   | mc-fw-host.exe            | running      | 211.80    MB | N/A
PID:5512   | mscopilot.exe             | running      | 18.41     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:5528   | svchost.exe               | running      | 15.89     MB | N/A
PID:5628   | powershell.exe            | running      | 72.56     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:5688   | LenovoVantage-(GenericMessagingAddin).exe | running      | 8.13      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:5720   | MsMpEng.exe               | running      | 321.93    MB | N/A
PID:5960   | splunkd.exe               | running      | 180.70    MB | N/A
PID:6100   | svchost.exe               | running      | 27.56     MB | N/A
PID:6564   | svchost.exe               | running      | 6.24      MB | N/A
PID:6624   | svchost.exe               | running      | 20.30     MB | N/A
PID:6732   | unsecapp.exe              | running      | 31.95     MB | N/A
PID:6880   | winlogon.exe              | running      | 22.41     MB | N/A
PID:6884   | svchost.exe               | running      | 9.40      MB | N/A
PID:6924   | conhost.exe               | running      | 2.70      MB | N/A
PID:6940   | taskhostw.exe             | running      | 6.54      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:7076   | wps.exe                   | running      | 119.33    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:7080   | OpenConsole.exe           | running      | 11.37     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:7116   | OpenConsole.exe           | running      | 11.37     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:7188   | chrome.exe                | running      | 100.29    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:7208   | svchost.exe               | running      | 2.61      MB | N/A
PID:7456   | WmiPrvSE.exe              | running      | 32.39     MB | N/A
PID:7512   | FnHotkeyUtility.exe       | running      | 46.56     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:7744   | svchost.exe               | running      | 21.74     MB | N/A
PID:7988   | wlanext.exe               | running      | 2.32      MB | N/A
PID:8036   | ctfmon.exe                | running      | 32.94     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:8044   | msedgewebview2.exe        | running      | 2.64      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:8056   | AppProvisioningPlugin.exe | running      | 34.28     MB | N/A
PID:8108   | svchost.exe               | running      | 5.82      MB | N/A
PID:8264   | chrome.exe                | running      | 254.29    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:8444   | svchost.exe               | running      | 4.98      MB | N/A
PID:8468   | chrome.exe                | running      | 75.64     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:8472   | svchost.exe               | running      | 10.97     MB | N/A
PID:8572   | SearchIndexer.exe         | running      | 32.34     MB | N/A
PID:8656   | msedge.exe                | running      | 57.03     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:8872   | AggregatorHost.exe        | running      | 7.89      MB | N/A
PID:8984   | msedge.exe                | running      | 125.91    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:9016   | svchost.exe               | running      | 7.20      MB | N/A
PID:9096   | NgcIso.exe                | running      | 2.80      MB | N/A
PID:9156   | svchost.exe               | running      | 2.61      MB | N/A
PID:9284   | chrome.exe                | running      | 51.02     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:9432   | svchost.exe               | running      | 10.34     MB | N/A
PID:9520   | RtkAudUService64.exe      | running      | 17.04     MB | N/A
PID:9792   | fontdrvhost.exe           | running      | 9.40      MB | N/A
PID:9936   | svchost.exe               | running      | 3.09      MB | N/A
PID:10072  | NisSrv.exe                | running      | 7.39      MB | N/A
PID:10416  | WhatsApp.Root.exe         | running      | 220.71    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:10616  | msedgewebview2.exe        | running      | 113.82    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:10632  | svchost.exe               | running      | 22.84     MB | N/A
PID:10636  | Code.exe                  | running      | 116.43    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:10888  | svchost.exe               | running      | 11.58     MB | N/A
PID:11272  | splunk-supervisor.exe     | running      | 23.14     MB | N/A
PID:11344  | RuntimeBroker.exe         | running      | 29.08     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:11404  | msedgewebview2.exe        | running      | 157.55    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:11956  | promecefpluginhost.exe    | running      | 143.80    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:11960  | svchost.exe               | running      | 11.44     MB | N/A
PID:12240  | unsecapp.exe              | running      | 9.48      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:12256  | TextInputHost.exe         | running      | 129.22    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:12268  | Code.exe                  | running      | 125.78    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:12328  | svchost.exe               | running      | 19.87     MB | N/A
PID:12340  | UDClientService.exe       | running      | 50.15     MB | N/A
PID:13044  | WmiPrvSE.exe              | running      | 11.81     MB | N/A
PID:13076  | taskhostw.exe             | running      | 22.60     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:13124  | msedge.exe                | running      | 111.07    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:13248  | chrome.exe                | running      | 140.79    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:13300  | chrome.exe                | running      | 94.30     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:13884  | svchost.exe               | running      | 12.96     MB | N/A
PID:14272  | msedgewebview2.exe        | running      | 48.37     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14288  | SecurityHealthSystray.exe | running      | 13.17     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14296  | msedge.exe                | running      | 20.20     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14368  | OneDrive.exe              | running      | 112.65    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14444  | chrome.exe                | running      | 328.30    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14464  | FileCoAuth.exe            | running      | 33.52     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14508  | svchost.exe               | running      | 7.45      MB | N/A
PID:14516  | Code.exe                  | running      | 407.99    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14556  | LenovoVantage-(VantageCoreAddin).exe | running      | 15.48     MB | N/A
PID:14640  | mc-fw-host.exe            | running      | 29.75     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14736  | OfficeClickToRun.exe      | running      | 37.58     MB | N/A
PID:14748  | RtkAudUService64.exe      | running      | 17.77     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14800  | conhost.exe               | running      | 10.36     MB | N/A
PID:14868  | explorer.exe              | running      | 360.69    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:14928  | mscopilot.exe             | running      | 113.03    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15068  | msedgewebview2.exe        | running      | 18.68     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15288  | csrss.exe                 | running      | 7.82      MB | N/A
PID:15292  | msedge.exe                | running      | 12.71     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15472  | chrome.exe                | running      | 132.05    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15544  | powershell.exe            | running      | 72.88     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15548  | chrome.exe                | running      | 9.10      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15732  | svchost.exe               | running      | 10.20     MB | N/A
PID:15884  | backgroundTaskHost.exe    | running      | 4.60      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15908  | OpenConsole.exe           | running      | 11.49     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15952  | msedge.exe                | running      | 214.26    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:15996  | RuntimeBroker.exe         | running      | 13.35     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:16312  | msedge.exe                | running      | 33.98     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:16424  | SecurityHealthService.exe | running      | 19.33     MB | N/A
PID:16572  | AppActions.exe            | running      | 46.47     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:16744  | svchost.exe               | running      | 7.07      MB | N/A
PID:16908  | svchost.exe               | running      | 2.28      MB | N/A
PID:16940  | RuntimeBroker.exe         | running      | 11.43     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:16964  | ai.exe                    | running      | 39.34     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17096  | Code.exe                  | running      | 534.80    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17240  | msedgewebview2.exe        | running      | 12.54     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17532  | msedgewebview2.exe        | running      | 1.71      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17656  | msedge.exe                | running      | 28.64     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17756  | mscopilot.exe             | running      | 12.36     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17836  | RadeonSoftware.exe        | running      | 83.03     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17844  | chrome.exe                | running      | 246.33    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17860  | OpenConsole.exe           | running      | 11.41     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:17876  | svchost.exe               | running      | 7.62      MB | N/A
PID:18100  | WINWORD.EXE               | running      | 294.53    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:18472  | WidgetService.exe         | running      | 32.90     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:18520  | svchost.exe               | running      | 22.09     MB | N/A
PID:18584  | svchost.exe               | running      | 16.89     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:18604  | splunkd.exe               | running      | 10.61     MB | N/A
PID:18708  | mscopilot.exe             | running      | 35.57     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:18736  | CrossDeviceResume.exe     | running      | 56.20     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:18752  | ipc_broker.exe            | running      | 13.77     MB | N/A
PID:18840  | PhoneExperienceHost.exe   | running      | 187.92    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:18876  | svchost.exe               | running      | 11.41     MB | N/A
PID:18944  | python3.13.exe            | running      | 4.82      MB | N/A
PID:18960  | svchost.exe               | running      | 45.94     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:19048  | chrome.exe                | running      | 207.53    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:19120  | Code.exe                  | running      | 36.29     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:19144  | svchost.exe               | running      | 6.68      MB | N/A
PID:19196  | msedgewebview2.exe        | running      | 12.92     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:19228  | svchost.exe               | running      | 41.40     MB | N/A
PID:19304  | sihost.exe                | running      | 50.96     MB | LAPTOP-8I6CI9I2\BHUKAILASH
