Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:4376 | LenovoUtilityService.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_5e21bf389d23855a\LenovoUtilityService.exe
PID:4416 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4508 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4540 | servicehost.exe | Trusted | C:\Program Files\McAfee\WebAdvisor\servicehost.exe
PID:4568 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4576 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4624 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:4696 | spoolsv.exe | Trusted | C:\Windows\System32\spoolsv.exe
PID:4704 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4732 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4772 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:4844 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4860 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4876 | LenovoVantageService.exe | Trusted | C:\Program Files (x86)\Lenovo\VantageService\4.2601.31.0\LenovoVantageService.exe
PID:4916 | pet.exe | Unknown | C:\Users\BHUKAILASH\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\python-env-tools\bin\pet.exe
PID:5012 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:5020 | DAX3API.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\dax3_swc_aposvc.inf_amd64_3a19d2a71a27e2b3\DAX3API.exe
PID:5036 | armsvc.exe | Trusted | C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe
PID:5052 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:5076 | ElevocControlService.exe | Trusted | C:\Windows\System32\ElevocInstallDriver\ElevocControlService.exe
PID:5088 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:5108 | LNBITSSvc.exe | Trusted | C:\Windows\System32\LNBITSSvc.exe
PID:5192 | MpDefenderCoreService.exe | Unknown | C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe
PID:5284 | mtkbtsvc.exe | Trusted | C:\Windows\System32\mtkbtsvc.exe
PID:5292 | RtkAudUService64.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_9873da36e3c839c5\RtkAudUService64.exe
PID:5300 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:5312 | UltraViewer_Service.exe | Trusted | C:\Program Files (x86)\UltraViewer\UltraViewer_Service.exe
PID:5384 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:5412 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
